,Unnamed: 0,date,speakers,title,subtitle,mean,std,pos_mean,pos_std,neu_mean,neu_std,neg_mean,neg_std,pos_np,neu_np,neg_np
0,0,2021-05-27,Isabel Schnabel,Societal responsibility and central bank independence,"Keynote speech by Isabel Schnabel, Member of the Executive Board of the ECB, at the “VIII. New Paradigm Workshop”, organised by the Forum New Economy",-0.0853678674385365,0.3878582451082666,0.1397295970624933,0.1449824214409892,0.6351729390314884,0.2709620109185178,0.2250974645010299,0.3015083940149261,"[0.21838163 0.03354283 0.02778754 0.03855713 0.20592251 0.06981957
 0.0842815  0.05406381 0.03617266 0.03718298 0.14319733 0.72315186
 0.01355088 0.02815134 0.01360273 0.41562596 0.01816874 0.05140564
 0.08603764 0.04903089 0.08560647 0.26634642 0.35991263 0.0246396
 0.16979121 0.14904383 0.28020024 0.12616271 0.03891093 0.06886049
 0.33371475 0.18563549 0.09951336 0.17186296 0.05875459 0.26367462]","[0.76848191 0.91455883 0.28564495 0.55031949 0.77886915 0.91321504
 0.65608335 0.92244309 0.86472195 0.64520854 0.34725413 0.25224349
 0.09540285 0.33044887 0.11541295 0.56458408 0.02857221 0.2161521
 0.89321452 0.69191837 0.20361629 0.71013385 0.61026776 0.9334504
 0.76493263 0.80045253 0.70118022 0.86187565 0.90649706 0.89534539
 0.6559518  0.7837013  0.84416956 0.71873808 0.91394514 0.72721827]","[0.01313641 0.05189829 0.68656749 0.41112337 0.01520831 0.01696534
 0.25963515 0.02349312 0.09910536 0.31760845 0.50954854 0.02460468
 0.89104617 0.64139986 0.87098438 0.01979001 0.95325905 0.7324422
 0.0207478  0.2590507  0.71077722 0.02351979 0.02981961 0.04191002
 0.06527618 0.05050369 0.01861953 0.01196168 0.05459197 0.03579418
 0.01033344 0.03066319 0.05631708 0.10939898 0.0273003  0.00910719]"
1,1,2021-05-27,Luis de Guindos,Climate change and financial integration,"Keynote speech by Luis de Guindos, Vice-President of the ECB, at the joint ECB and European Commission conference on “European Financial Integration and Stability”",-0.0269555256125472,0.5057612582195543,0.2027475407258385,0.2539059593765226,0.5675493955966973,0.3479075797707456,0.2297030663383858,0.3520636863241775,"[0.08870706 0.35806265 0.01477082 0.9309842  0.09068976 0.02352494
 0.05872874 0.10013567 0.08390894 0.08266246 0.04635432 0.02447896
 0.44237134 0.02287874 0.84130067 0.09763689 0.02209441 0.09605255
 0.19680957 0.3926869  0.24285877]","[0.70682108 0.63062811 0.02607576 0.05536489 0.01945654 0.02260663
 0.91513503 0.86357296 0.87855303 0.89270568 0.9050501  0.70107174
 0.53409386 0.02642673 0.14884119 0.88934743 0.90951413 0.88721865
 0.56760359 0.59737641 0.74107379]","[0.20447177 0.01130923 0.95915341 0.0136509  0.88985372 0.95386857
 0.02613623 0.0362913  0.037538   0.02463187 0.04859554 0.27444935
 0.02353486 0.95069462 0.00985815 0.01301566 0.06839147 0.01672878
 0.23558681 0.00993671 0.01606744]"
2,3,2021-05-19,Fabio Panetta,At the edge of tomorrow: preparing the future of European retail payments,"Introductory remarks by Fabio Panetta, Member of the Executive Board of the ECB, at the 14th Payment Forum of Suomen Pankki − Finlands Bank, Helsinki, 19 May 2021 ",0.3167429082613024,0.3075108620373459,0.3817148332794507,0.2396364545310044,0.5533132404088974,0.252127767422618,0.0649719250181482,0.1471055275584238,"[0.23331414 0.50757241 0.2567094  0.85213768 0.69216138 0.07017321
 0.22697613 0.22500584 0.37138331]","[0.75631839 0.48265964 0.26314804 0.14051794 0.29957756 0.88978845
 0.76172823 0.76799148 0.61808944]","[0.01036743 0.00976786 0.48014256 0.00734432 0.00826112 0.04003836
 0.01129569 0.00700273 0.01052725]"
3,4,2021-05-06,Christine Lagarde,Towards a green capital markets union for Europe,"Speech by Christine Lagarde, President of the ECB, at the European Commission’s high-level conference on the proposal for a Corporate Sustainability Reporting Directive, 6 May 2021",0.4947291990032508,0.233734280490474,0.5093910247087479,0.2283108268995415,0.4759471551293418,0.2232622491282449,0.014661825705497,0.0106320141977908,"[0.60571969 0.07047932 0.67631507 0.56479281 0.71747756 0.75624722
 0.1630806  0.62365097 0.26144612 0.80637616 0.31373557 0.77904105
 0.29470056 0.55551451 0.85137957 0.33291256 0.35789606 0.64436471
 0.28702635 0.71352023 0.32153481]","[0.38253784 0.90226835 0.31308943 0.40945569 0.27105096 0.23364459
 0.79683959 0.36656407 0.72932559 0.18511921 0.6765542  0.21317104
 0.69450843 0.43493503 0.1413773  0.65309119 0.59551865 0.34636059
 0.70337766 0.27805966 0.66804117]","[0.01174252 0.02725238 0.01059556 0.02575157 0.01147144 0.01010816
 0.04007976 0.009785   0.00922827 0.00850462 0.0097102  0.00778788
 0.01079104 0.00955042 0.00724311 0.01399624 0.0465853  0.00927472
 0.00959597 0.00842019 0.01042399]"
4,6,2021-04-29,Frank Elderson,All the way to zero: guiding banks towards a carbon-neutral Europe,"Keynote speech by Frank Elderson, Vice-Chair of the Supervisory Board and Member of the Executive Board of the ECB, at the conference on “The Role of Banks in Greening Our Economies” organised by the European Bank for Reconstruction and Development and Hrvatska narodna banka ",0.2214240803413333,0.3734544677365484,0.3082342225938074,0.2727790229324291,0.6049556241881463,0.2694174848806767,0.086810142252474,0.1778162503015412,"[0.62994921 0.748299   0.10959322 0.38741919 0.09427147 0.7944352
 0.08053074 0.57857847 0.19373412 0.79235917 0.08636545 0.01882241
 0.05573474 0.08404875 0.87450409 0.1214751  0.16405065 0.13885571
 0.29154474 0.12894972 0.25814196 0.16786444 0.35826331 0.20514838
 0.27000791 0.84463644 0.05602696 0.16982265 0.02695615 0.17097156
 0.65389997]","[0.35543764 0.24172987 0.79927289 0.59703314 0.8871938  0.19383572
 0.9044804  0.33959037 0.49288043 0.19726248 0.89264601 0.20367096
 0.67905939 0.30765235 0.10775149 0.86614728 0.8259697  0.84437472
 0.69964272 0.85627681 0.72733754 0.82046646 0.62077349 0.78326738
 0.72094911 0.14703134 0.91705537 0.8210156  0.74791235 0.81935966
 0.33654788]","[0.01461315 0.00997107 0.09113391 0.01554759 0.01853472 0.01172912
 0.01498881 0.08183113 0.3133854  0.01037843 0.02098848 0.77750665
 0.26520589 0.6082989  0.01774441 0.01237757 0.00997959 0.01676959
 0.0088125  0.01477346 0.01452051 0.01166911 0.02096317 0.01158422
 0.00904293 0.00833227 0.02691763 0.00916171 0.22513151 0.00966883
 0.00955216]"
5,7,2021-04-26,Philip R. Lane,Maximising the user value of statistics: lessons from globalisation and the pandemic,"Speech by Philip R. Lane, Member of the Executive Board of the ECB, at the European Statistical Forum (virtual)",0.1738589075859636,0.3009749278714035,0.2494164408184588,0.2126080987548752,0.6750260274857283,0.2105741827733125,0.0755575332324951,0.1492028687375111,"[0.11902874 0.18578006 0.05516128 0.06425903 0.02315068 0.26095667
 0.14592171 0.016729   0.02261271 0.18780513 0.46382508 0.02129434
 0.19695996 0.02903625 0.27895573 0.23631258 0.69960731 0.06252757
 0.04266308 0.13599007 0.0623588  0.22102575 0.6915372  0.81142861
 0.52869827 0.15432519 0.06454557 0.123074   0.34209964 0.31642023
 0.30560917 0.39677361 0.3714332  0.24922009 0.19995613 0.32317355
 0.15004386 0.15257351 0.48500216 0.77878213]","[0.86698902 0.80238944 0.93017364 0.8803767  0.92657328 0.73173976
 0.53003263 0.91051054 0.53120357 0.80059355 0.51907861 0.29230982
 0.64944708 0.82683635 0.7104128  0.74908376 0.25028333 0.42028427
 0.87240559 0.80539727 0.88486314 0.76852423 0.30047736 0.1808877
 0.46347642 0.83639401 0.92442197 0.85941911 0.64853901 0.67317742
 0.68633407 0.59499615 0.61853319 0.74286604 0.78749293 0.66818655
 0.8411479  0.82087976 0.48054886 0.21375428]","[0.01398217 0.01183051 0.01466514 0.05536429 0.05027601 0.00730362
 0.32404569 0.07276049 0.44618371 0.01160131 0.01709631 0.68639588
 0.15359293 0.14412734 0.01063146 0.0146036  0.05010935 0.51718819
 0.0849313  0.05861264 0.05277804 0.01045    0.0079854  0.00768378
 0.00782536 0.00928075 0.01103247 0.01750682 0.00936144 0.01040231
 0.00805674 0.0082303  0.01003363 0.00791394 0.01255085 0.00863991
 0.00880829 0.02654677 0.03444896 0.00746363]"
6,8,2021-04-26,Fabio Panetta,Monetary autonomy in a globalised world,"Welcome address by Fabio Panetta, Member of the Executive Board of the ECB, at the joint BIS, BoE, ECB and IMF conference on “Spillovers in a “post-pandemic, low-for-long” world”",-0.0518943720730021,0.5351414462047297,0.2561538165435195,0.2912322707450757,0.4357979902531951,0.3295715163409309,0.3080481886165216,0.3356793735857086,"[0.71824396 0.67454797 0.11926051 0.65489638 0.06949896 0.05840002
 0.02830682 0.75394911 0.04465044 0.0166023  0.05255282 0.61177921
 0.03292095 0.89176178 0.05535387 0.3390893  0.02776937 0.26799428
 0.01946825 0.29852578 0.38062251 0.3251802  0.86757582 0.07105735
 0.10101788 0.86647952 0.16149704 0.16636334 0.82948995 0.06599195
 0.08025494 0.06110447 0.04780701 0.02902656 0.08495377 0.14445816
 0.05295064 0.05255263 0.06681938 0.05537744]","[0.26256865 0.05804815 0.78262341 0.3183271  0.85038459 0.16707642
 0.05471831 0.20345111 0.0317767  0.06711058 0.21696548 0.35970891
 0.41589445 0.09149459 0.39899141 0.28600487 0.50722462 0.67147475
 0.02702178 0.16013981 0.6064983  0.31054407 0.10783651 0.07358542
 0.07043568 0.09868711 0.04988474 0.79745603 0.16041721 0.90255833
 0.8772065  0.89161032 0.91401166 0.92631412 0.55933124 0.80725276
 0.90548187 0.74791175 0.77653527 0.917355  ]","[0.01918737 0.26740384 0.09811603 0.02677651 0.08011641 0.77452362
 0.91697496 0.04259979 0.92357284 0.91628718 0.73048168 0.02851185
 0.55118459 0.01674354 0.54565477 0.37490591 0.46500596 0.06053098
 0.95350999 0.54133433 0.01287919 0.36427569 0.02458769 0.85535723
 0.82854646 0.03483343 0.78861815 0.03618067 0.01009276 0.03144971
 0.04253862 0.04728515 0.03818132 0.04465936 0.35571501 0.04828908
 0.04156742 0.19953562 0.15664527 0.02726754]"
7,10,2021-04-14,Fabio Panetta,A digital euro to meet the expectations of Europeans,"Introductory remarks by Fabio Panetta, Member of the Executive Board of the ECB, at the ECON Committee of the European Parliament",0.165763605117368,0.2100584812352601,0.1879448761017276,0.1995644321653321,0.7898738464483848,0.1920731730762193,0.0221812709843596,0.0261222574598203,"[0.14485686 0.10724549 0.09668376 0.13076587 0.18203638 0.36281091
 0.16050906 0.06534585 0.03654284 0.02620827 0.02788838 0.0427966
 0.10454635 0.10957704 0.25391862 0.21162644 0.1495184  0.68374693
 0.76075345 0.21554343 0.08332735 0.64744174 0.10066046 0.07972191
 0.06504998 0.0374444 ]","[0.84434301 0.88235974 0.88826418 0.85440606 0.80974376 0.62903756
 0.82724088 0.91992992 0.93357205 0.86002755 0.86919409 0.93667775
 0.87892234 0.8799485  0.73653501 0.77756417 0.82964861 0.30866224
 0.23127663 0.77273089 0.90599424 0.34166107 0.85431296 0.90193677
 0.92132401 0.94140601]","[0.01080008 0.01039479 0.01505203 0.01482816 0.00821979 0.00815154
 0.01225001 0.01472426 0.02988507 0.11376418 0.10291756 0.02052562
 0.01653127 0.01047444 0.00954634 0.01080935 0.02083299 0.00759085
 0.00796988 0.01172568 0.01067841 0.01089721 0.04502662 0.01834128
 0.01362606 0.02114956]"
8,11,2021-04-14,Luis de Guindos,Presentation of the ECB Annual Report 2020 to the Committee on Economic and Monetary Affairs of the European Parliament  ,"Introductory remarks by Luis de Guindos, Vice-President of the ECB, at the ECON Committee of the European Parliament (by videoconference)",-0.0675933408335997,0.6521234574427284,0.3336102852167991,0.3253689915462172,0.2651860910969285,0.3158518821310142,0.4012036260503989,0.3957887404730732,"[0.15859719 0.05016753 0.03126129 0.93994409 0.3181327  0.55564064
 0.01666879 0.74364954 0.23350152 0.90389186 0.0311919  0.0982919
 0.25599477]","[0.8292225  0.86167067 0.03007718 0.01909946 0.02442543 0.22923633
 0.0376062  0.24167962 0.75112456 0.07151909 0.01517264 0.02578682
 0.31079867]","[0.01218035 0.08816177 0.93866158 0.04095646 0.65744185 0.21512303
 0.94572496 0.01467087 0.01537391 0.02458912 0.95363551 0.87592119
 0.43320653]"
9,12,2021-04-08,Christine Lagarde,IMFC Statement ,"Statement by Christine Lagarde, President of the ECB, at the forty-third meeting of the International Monetary and Financial Committee",0.5162505058473662,0.4897032486552291,0.6663163865083143,0.2874303751037403,0.1836177471436952,0.2355950475558531,0.150065880660948,0.2550312399286665,"[0.94999373 0.66771054 0.927145   0.83222705 0.92773813 0.92084855
 0.08815402 0.71247017 0.10764288 0.77119678 0.83992743 0.87274468
 0.38726425 0.26557305 0.62413281 0.23207435 0.79128015 0.86371344
 0.8781743 ]","[0.03303595 0.30098769 0.0570213  0.02341052 0.03338865 0.06579226
 0.89929426 0.26715529 0.03008895 0.21537934 0.06803472 0.11322502
 0.03776621 0.03129121 0.12886254 0.75048059 0.19878827 0.1250598
 0.10967463]","[0.01697039 0.03130177 0.01583371 0.14436249 0.03887326 0.01335926
 0.01255166 0.02037457 0.86226809 0.01342388 0.09203792 0.01403037
 0.57496953 0.70313573 0.24700461 0.01744503 0.00993162 0.01122675
 0.01215108]"
